market,ratio,peak,trough,KR_dd_pct,US_dd_pct,class
KR,0.65,1996-12-11,1997-01-07,-13.3,-8.7,KR 단독
KR,0.67,1997-02-14,1997-03-24,-14.4,-9.6,KR 단독
KR,0.45,1997-06-17,1998-06-16,-64.7,-29.2,부분 동조
KR,0.6,1999-01-11,1999-02-24,-22.2,-13.3,부분 동조
KR,0.43,1999-05-10,1999-05-24,-14.6,-6.3,KR 단독
KR,0.53,1999-07-09,1999-10-05,-23.0,-12.1,부분 동조
KR,0.33,2000-01-04,2000-12-22,-52.7,-17.2,KR 단독
KR,0.75,2002-04-18,2003-03-17,-45.0,-33.6,글로벌 동조
KR,0.33,2004-04-23,2004-08-02,-23.1,-7.6,KR 단독
KR,0.43,2006-05-11,2006-06-13,-17.8,-7.7,KR 단독
KR,0.52,2007-07-25,2007-08-17,-18.3,-9.4,KR 단독
KR,0.95,2007-10-31,2008-10-24,-54.5,-51.9,글로벌 동조
KR,0.75,2011-05-02,2011-09-26,-25.9,-19.4,글로벌 동조
KR,1.4,2013-01-02,2013-06-25,-12.3,-17.3,글로벌 동조
KR,0.78,2015-04-23,2015-08-24,-15.8,-12.4,글로벌 동조
KR,0.85,2018-01-29,2019-01-03,-23.3,-19.8,글로벌 동조
KR,0.95,2020-01-22,2020-03-19,-35.7,-33.9,글로벌 동조
KR,0.81,2021-07-06,2022-09-30,-31.2,-25.4,글로벌 동조
KR,0.7,2023-08-01,2023-10-31,-14.6,-10.3,글로벌 동조
KR,0.91,2024-07-11,2025-04-09,-20.7,-18.9,글로벌 동조
KR,0.58,2026-02-26,2026-03-31,-19.9,-11.6,부분 동조
KR,0.36,2026-06-02,2026-06-08,-15.0,-5.4,KR 단독
KR,0.18,2026-06-22,2026-07-30,-38.6,-6.8,KR 단독
US,1.05,1998-07-17,1998-08-31,-20.3,-19.3,글로벌 동조
US,1.9,1999-07-16,1999-10-15,-23.0,-12.1,글로벌 동조
US,1.44,2000-03-24,2002-07-23,-50.0,-34.7,글로벌 동조
US,1.04,2007-10-09,2009-03-09,-54.5,-52.6,글로벌 동조
US,0.78,2010-04-23,2010-07-02,-12.4,-16.0,글로벌 동조
US,1.33,2011-04-29,2011-10-03,-25.9,-19.4,글로벌 동조
US,1.28,2015-05-21,2015-08-25,-15.8,-12.4,글로벌 동조
US,1.12,2015-05-21,2016-02-11,-15.8,-14.2,글로벌 동조
US,0.78,2018-09-20,2018-12-24,-15.4,-19.8,글로벌 동조
US,1.05,2020-02-19,2020-03-23,-35.7,-33.9,글로벌 동조
US,1.13,2022-01-03,2022-10-12,-28.9,-25.4,글로벌 동조
US,0.75,2025-02-19,2025-04-08,-14.1,-18.9,글로벌 동조
