peak,trough,end,drawdown_pct
1996-12-11,1997-01-07,1997-01-15,-13.3
1997-02-14,1997-03-24,1997-05-19,-14.4
1997-06-17,1998-06-16,1998-12-10,-64.7
1999-01-11,1999-02-24,1999-04-01,-22.2
1999-05-10,1999-05-24,1999-06-07,-14.6
1999-07-09,1999-10-05,1999-11-16,-23.0
2000-01-04,2000-12-22,2001-11-19,-52.7
2002-04-18,2003-03-17,2003-08-19,-45.0
2004-04-23,2004-08-02,2005-01-17,-23.1
2006-05-11,2006-06-13,2006-12-20,-17.8
2007-07-25,2007-08-17,2007-10-02,-18.3
2007-10-31,2008-10-24,2009-08-03,-54.5
2011-05-02,2011-09-26,2013-01-02,-25.9
2013-01-02,2013-06-25,2013-09-10,-12.3
2015-04-23,2015-08-24,2016-08-01,-15.8
2018-01-29,2019-01-03,2019-12-20,-23.3
2020-01-22,2020-03-19,2020-07-21,-35.7
2021-07-06,2022-09-30,2023-06-09,-31.2
2023-08-01,2023-10-31,2023-12-20,-14.6
2024-07-11,2025-04-09,2025-06-09,-20.7
2026-02-26,2026-03-31,2026-04-16,-19.9
2026-06-02,2026-06-08,2026-06-16,-15.0
2026-06-22,2026-07-30,2026-08-27,-38.6
