peak,trough,end,drawdown_pct
1998-07-17,1998-08-31,1998-11-20,-19.3
1999-07-16,1999-10-15,1999-11-12,-12.1
2000-03-24,2002-07-23,2003-06-20,-34.7
2007-10-09,2009-03-09,2009-10-06,-52.6
2010-04-23,2010-07-02,2010-11-02,-16.0
2011-04-29,2011-10-03,2012-02-03,-19.4
2015-05-21,2015-08-25,2015-10-28,-12.4
2015-05-21,2016-02-11,2016-04-18,-14.2
2018-09-20,2018-12-24,2019-04-03,-19.8
2020-02-19,2020-03-23,2020-08-05,-33.9
2022-01-03,2022-10-12,2023-06-01,-25.4
2025-02-19,2025-04-08,2025-06-10,-18.9
