entry,exit,entry_px,ref_high,inv_ret_pct,hold_sess,exit_reason,mode
2007-11-30,2007-12-24,1906.0,2064.85009765625,-0.71,15,논리손절(상태 해제),B
2008-01-09,2008-02-18,1844.469970703125,2064.85009765625,8.04,25,시간손절,B
2010-05-11,2010-06-10,1670.24,1752.2,1.11,20,논리손절(상태 해제),B
2017-08-14,2017-08-28,2334.22,2451.53,-1.55,9,논리손절(상태 해제),B
2018-03-06,2018-03-15,2411.41,2598.19,-3.36,7,논리손절(상태 해제),B
2020-02-24,2020-03-30,2079.04,2267.25,17.41,25,시간손절,B
2021-08-17,2021-09-24,3143.09,3305.21,0.57,25,시간손절,B
2024-07-24,2024-08-29,2758.71,2891.35,3.5,25,시간손절,B
2025-11-19,2025-12-19,3929.51,4221.87,-2.32,22,논리손절(상태 해제),B
2026-03-12,2026-04-16,5583.25,6307.27,-11.51,25,시간손절,B
2026-07-06,2026-08-11,8051.33,9114.55,21.19,25,시간손절,B
