entry,exit,entry_px,ref_high,inv_ret_pct,hold_sess,exit_reason,mode
1997-10-17,1997-11-21,585.489990234375,792.2899780273438,13.56,25,시간손절,CHASE
1997-12-02,1998-01-15,376.8699951171875,792.2899780273438,-34.26,25,시간손절,CHASE
2000-01-26,2000-03-03,885.5399780273438,1059.0400390625,-1.05,25,시간손절,CHASE
2000-04-07,2000-05-18,837.3800048828125,1059.0400390625,14.86,25,시간손절,CHASE
2000-05-29,2000-05-31,655.9299926757812,1059.0400390625,-11.58,2,논리손절(상태 해제),CHASE
2003-01-28,2003-02-28,600.5599975585938,937.6099853515625,4.18,22,논리손절(상태 해제),CHASE
2003-03-11,2003-04-14,532.530029296875,937.6099853515625,-11.62,24,논리손절(상태 해제),CHASE
2007-11-21,2007-12-24,1806.989990234375,2064.85009765625,-6.22,22,논리손절(상태 해제),CHASE
2008-01-17,2008-02-26,1723.550048828125,2064.85009765625,0.84,25,시간손절,CHASE
2008-07-03,2008-08-07,1606.5400390625,2064.85009765625,2.65,25,시간손절,CHASE
2008-09-02,2008-10-09,1407.1400146484375,2064.85009765625,7.98,25,시간손절,CHASE
2008-10-20,2008-11-24,1207.6300048828125,2064.85009765625,19.67,25,시간손절,CHASE
2011-08-08,2011-09-15,1869.45,2228.96,5.1,25,시간손절,CHASE
2011-09-27,2011-11-02,1735.71,2228.96,-9.35,25,시간손절,CHASE
2015-08-25,2015-10-01,1846.63,2173.41,-7.19,25,논리손절(상태 해제),CHASE
2018-02-12,2018-03-15,2385.38,2598.19,-4.49,20,논리손절(상태 해제),CHASE
2018-10-12,2018-11-15,2161.85,2598.19,3.41,24,논리손절(상태 해제),CHASE
2019-08-07,2019-09-16,1909.71,2355.43,-7.99,25,시간손절,CHASE
2020-03-02,2020-04-06,2002.51,2267.25,10.52,25,시간손절,CHASE
2022-01-27,2022-03-10,2614.49,3305.21,-2.52,25,시간손절,CHASE
2022-06-16,2022-07-21,2451.41,3305.21,1.72,25,시간손절,CHASE
2022-09-28,2022-11-04,2169.29,3153.4,-8.26,25,시간손절,CHASE
2024-08-06,2024-09-09,2522.15,2891.35,-0.55,23,논리손절(상태 해제),CHASE
2025-04-08,2025-05-16,2334.23,2891.35,-12.54,25,시간손절,CHASE
2026-03-10,2026-04-14,5532.59,6307.27,-7.87,25,시간손절,CHASE
2026-07-03,2026-08-10,8088.34,9114.55,22.11,25,시간손절,CHASE
