entry,exit,entry_px,ref_high,inv_ret_pct,hold_sess,exit_reason,mode
2000-02-22,2000-03-07,1352.1700439453125,1469.25,-0.26,10,논리손절(상태 해제),B
2000-04-06,2000-05-12,1501.3399658203125,1527.4599609375,5.35,25,시간손절,B
2007-08-17,2007-09-06,1445.93994140625,1553.0799560546875,-2.26,13,논리손절(상태 해제),B
2013-06-21,2013-07-11,1592.4300537109375,1669.1600341796875,-5.19,13,가격손절(고점 회복),B
2020-03-04,2020-04-08,3130.1201171875,3386.14990234375,12.14,25,시간손절,B
2021-12-02,2021-12-10,4577.10009765625,4704.5400390625,-2.95,6,가격손절(고점 회복),B
2022-01-14,2022-02-22,4662.85009765625,4796.56005859375,7.68,25,시간손절,B
2022-03-03,2022-04-07,4363.490234375,4796.56005859375,-3.13,25,시간손절,B
2024-07-29,2024-09-03,5463.5400390625,5667.2001953125,-1.2,25,시간손절,B
2025-03-31,2025-05-06,5611.85009765625,6144.14990234375,0.09,25,시간손절,B
