entry,exit,entry_px,ref_high,inv_ret_pct,hold_sess,exit_reason,mode
2000-04-17,2000-05-15,1401.43994140625,1527.4599609375,-3.63,19,논리손절(상태 해제),CHASE
2008-09-18,2008-10-23,1206.510009765625,1565.1500244140625,24.73,25,시간손절,CHASE
2008-11-13,2008-11-24,911.2899780273438,1515.9599609375,6.53,7,논리손절(상태 해제),CHASE
2011-08-05,2011-09-12,1199.3800048828125,1363.6099853515625,3.09,25,시간손절,CHASE
2011-10-04,2011-10-14,1123.949951171875,1363.6099853515625,-8.95,8,논리손절(상태 해제),CHASE
2015-08-25,2015-09-29,1867.6099853515625,2130.820068359375,-0.88,24,논리손절(상태 해제),CHASE
2020-02-28,2020-04-03,2954.219970703125,3386.14990234375,15.76,25,시간손절,CHASE
2022-01-28,2022-03-07,4431.85009765625,4796.56005859375,5.21,25,시간손절,CHASE
2022-05-13,2022-06-21,4023.889892578125,4796.56005859375,6.44,25,시간손절,CHASE
2025-04-07,2025-05-13,5062.25,6144.14990234375,-16.28,25,시간손절,CHASE
