rule,caught,caught_v1,caught_null_mean,caught_null_p95,p_value,null_draws,null_degenerate,lead_window,panel_sessions,panel_span,episodes,hits,fa_rate,days_pct,longest_ep
ABS 35 (경계 25),3/23,8/23,5.95,10,0.941,203,0,120,7329,1996-12-11..2026-09-11,17,3,0.82,8.4,146
ABS 40 (경계 30),3/23,6/23,3.72,6,0.793,203,0,120,7329,1996-12-11..2026-09-11,9,3,0.67,5.2,146
ABS 45 (경계 35),3/23,6/23,2.85,6,0.537,203,0,120,7329,1996-12-11..2026-09-11,6,2,0.67,4.5,146
ABS 50 (경계 40),3/23,6/23,2.71,5,0.493,203,0,120,7329,1996-12-11..2026-09-11,6,2,0.67,4.0,146
REL p85 (경계 p75),8/23,11/23,10.28,15,0.734,203,0,120,7329,1996-12-11..2026-09-11,38,8,0.79,20.9,164
REL p90 (경계 p80),8/23,11/23,9.86,15,0.68,203,0,120,7329,1996-12-11..2026-09-11,36,9,0.75,18.9,159
REL p95 (경계 p85),7/23,11/23,9.02,14,0.704,203,0,120,7329,1996-12-11..2026-09-11,31,9,0.71,15.7,146
HYB abs40&p85,7/23,11/23,8.97,14,0.704,203,0,120,7329,1996-12-11..2026-09-11,33,10,0.7,13.3,146
HYB abs40&p90,7/23,11/23,8.64,13,0.7,203,0,120,7329,1996-12-11..2026-09-11,31,9,0.71,12.1,146
HYB abs45&p85,7/23,11/23,8.97,14,0.704,203,0,120,7329,1996-12-11..2026-09-11,33,10,0.7,13.1,146
