date,vk,vk_med,rel_thr,abs_ok,rel_ok,rel_looser
2011-08-16,28.53,18.36,28.36,1,0,0
2011-08-17,28.86,18.36,28.36,1,0,0
2011-08-18,31.12,18.36,28.36,1,0,0
2011-08-23,34.78,18.36,28.36,1,0,0
2011-08-29,33.41,18.38,28.38,1,0,0
2011-08-30,30.39,18.38,28.38,1,0,0
2011-09-01,29.79,18.38,28.38,1,0,0
2011-09-02,30.63,18.39,28.39,1,0,0
2011-09-08,33.93,18.43,28.43,1,0,0
2011-10-12,34.06,18.87,28.87,1,0,0
2011-10-13,31.82,18.91,28.91,1,0,0
2011-10-14,31.49,18.92,28.92,1,0,0
2011-10-17,30.61,18.93,28.93,1,0,0
2011-10-18,33.07,19.02,29.02,1,0,0
2011-10-19,31.73,19.08,29.08,1,0,0
2011-10-21,34.42,19.12,29.12,1,0,0
2011-10-24,32.85,19.12,29.12,1,0,0
2011-10-25,33.72,19.19,29.19,1,0,0
2011-10-26,33.92,19.2,29.2,1,0,0
2011-10-27,30.07,19.21,29.21,1,0,0
2011-10-28,29.23,19.23,29.23,1,0,0
2011-10-31,31.02,19.24,29.24,1,0,0
2011-11-01,31.99,19.25,29.25,1,0,0
2011-11-02,33.94,19.29,29.29,1,0,0
2011-11-04,31.12,19.3,29.3,1,0,0
2011-11-07,32.67,19.31,29.31,1,0,0
2011-11-08,32.86,19.36,29.36,1,0,0
2011-11-09,30.46,19.4,29.4,1,0,0
2011-11-11,34.18,19.42,29.42,1,0,0
2011-11-14,31.47,19.45,29.45,1,0,0
2011-11-15,32.34,19.46,29.46,1,0,0
2011-11-17,34.86,19.46,29.46,1,0,0
2011-11-23,34.87,19.47,29.47,1,0,0
2011-11-24,33.66,19.59,29.59,1,0,0
2011-11-25,32.63,19.6,29.6,1,0,0
2011-11-28,30.25,19.62,29.62,1,0,0
2011-12-09,31.07,19.72,29.72,1,0,0
2015-08-24,28.58,12.98,22.98,1,0,0
2015-08-25,28.05,12.98,22.98,1,0,0
2015-09-07,24.14,13.13,23.13,1,0,0
2016-01-20,24.04,13.85,23.85,1,0,0
2016-01-21,24.15,13.85,23.85,1,0,0
2018-02-06,22.61,12.23,22.23,1,0,0
2018-02-07,23.04,12.25,22.25,1,0,0
2018-02-09,23.73,12.27,22.27,1,0,0
2019-04-10,30.4,14.63,24.63,1,0,0
2020-02-26,25.1,14.43,24.43,1,0,0
2020-02-27,26.84,14.43,24.43,1,0,0
2020-02-28,33.81,14.43,24.43,1,0,0
2020-03-02,32.66,14.48,24.48,1,0,0
2020-03-03,29.49,14.48,24.48,1,0,0
2020-03-04,26.76,14.48,24.48,1,0,0
2020-03-06,27.47,14.48,24.48,1,0,0
2020-03-10,34.8,14.48,24.48,1,0,0
2020-04-16,34.82,14.85,24.85,1,0,0
2020-04-17,31.44,14.89,24.89,1,0,0
2020-04-20,33.29,14.89,24.89,1,0,0
2020-04-23,34.46,14.96,24.96,1,0,0
2020-04-28,32.64,15.07,25.07,1,0,0
2020-04-29,30.51,15.08,25.08,1,0,0
2020-05-06,31.81,15.15,25.15,1,0,0
2020-05-07,31.31,15.18,25.18,1,0,0
