start,end,len_sess,worst_fwd60_pct,hit,near_event
1997-10-09,1998-01-15,64,-42.5,True,True
2000-01-25,2000-03-27,43,-20.6,True,True
2000-03-31,2000-05-30,38,-23.8,True,True
2003-01-27,2003-02-27,23,-13.1,True,True
2003-03-06,2003-04-11,27,-7.2,False,True
2007-11-20,2007-12-21,23,-15.1,True,True
2008-01-08,2008-04-10,64,-13.8,True,True
2008-07-02,2008-08-11,29,-14.5,True,True
2008-09-01,2008-11-26,61,-33.6,True,True
2011-07-28,2011-10-14,53,-23.3,True,True
2013-06-11,2013-07-23,31,-7.3,False,True
2015-08-11,2015-09-30,34,-7.9,False,True
2019-08-01,2019-09-16,30,-5.3,False,True
2020-02-19,2020-05-15,59,-34.1,True,True
2021-08-13,2022-11-11,306,-8.3,True,True
2024-07-02,2024-09-06,48,-12.2,True,True
2025-03-26,2025-05-16,35,-13.2,True,True
2026-04-01,2026-08-27,101,-4.5,False,True
