start,end,len_sess,worst_fwd60_pct,hit,near_event
1997-10-09,1998-01-15,64,-42.5,True,True
2000-01-25,2000-03-27,43,-20.6,True,True
2000-03-31,2000-05-30,38,-23.8,True,True
2003-01-27,2003-02-27,23,-13.1,True,True
2003-03-06,2003-04-11,27,-7.2,False,True
2007-11-20,2007-12-21,23,-15.1,True,True
2008-01-08,2008-02-25,32,-13.8,True,True
2008-03-03,2008-03-14,10,-5.8,False,True
2008-03-18,2008-03-31,10,0.0,False,True
2008-07-02,2008-08-11,29,-14.5,True,True
2008-09-01,2008-09-30,21,-33.6,True,True
2008-10-02,2008-11-26,39,-33.9,True,True
2011-07-28,2011-09-08,30,-23.3,True,True
2011-09-14,2011-10-14,22,-5.5,False,True
2013-06-11,2013-06-24,10,-7.3,False,True
2013-06-26,2013-07-09,10,0.0,False,True
2015-08-11,2015-09-08,20,-7.9,False,True
2015-09-10,2015-09-23,10,-1.6,False,True
2019-08-01,2019-08-29,20,-5.3,False,True
2020-02-19,2020-04-14,40,-34.1,True,True
2020-04-17,2020-05-04,10,-1.8,False,True
2021-08-13,2021-08-27,10,-8.3,True,True
2021-08-31,2021-09-13,10,-11.3,True,True
2021-09-15,2021-10-01,10,-10.0,True,True
2021-10-06,2021-10-20,10,-2.4,False,True
2021-10-22,2021-11-04,10,-5.6,False,True
2021-11-08,2021-11-19,10,-11.7,True,True
2021-11-23,2022-03-02,67,-12.8,True,True
2022-03-04,2022-03-18,10,-6.0,False,True
2022-03-22,2022-04-04,10,-9.9,True,True
2022-04-06,2022-04-19,10,-15.9,True,True
2022-04-21,2022-05-04,10,-16.0,True,True
2022-05-09,2022-05-20,10,-12.2,True,True
2022-05-24,2022-06-08,10,-12.0,True,True
2022-06-10,2022-07-21,30,-11.7,True,True
2022-07-25,2022-08-05,10,-10.3,True,True
2022-08-09,2022-08-23,10,-13.9,True,True
2022-08-25,2022-09-07,10,-13.0,True,True
2022-09-13,2022-10-31,33,-12.0,True,True
2024-07-02,2024-07-15,10,-12.2,True,True
2024-07-17,2024-09-06,37,-14.1,True,True
2025-03-26,2025-04-22,20,-13.2,True,True
2025-04-24,2025-05-12,10,0.0,False,True
2026-04-01,2026-04-29,21,-4.5,False,True
2026-05-04,2026-05-18,10,-19.4,True,True
2026-05-22,2026-08-27,66,-28.7,True,True
