start,end,len_sess,worst_fwd60_pct,hit,near_event
2000-02-18,2000-03-06,11,-0.9,False,True
2000-03-30,2000-05-12,31,-8.8,True,True
2007-08-16,2007-09-05,14,0.0,False,True
2008-01-07,2008-04-08,64,-10.1,True,True
2008-07-15,2008-07-28,10,-18.9,True,True
2008-09-02,2008-11-21,59,-41.1,True,True
2011-07-27,2011-10-13,56,-15.8,True,True
2013-06-06,2013-07-23,33,-3.0,False,False
2015-08-11,2015-09-28,34,-10.4,True,True
2020-02-18,2020-05-13,61,-33.6,True,True
2021-10-15,2022-07-28,197,0.0,False,True
2024-07-02,2024-09-05,46,-5.9,False,False
2025-03-26,2025-05-13,34,-12.8,True,True
