peak,trough,drawdown_pct,crash_day,crash_day_ret_pct,first_rain,rain_lead_vs_crash_sess,first_storm,avoided_if_derisk_at_rain_pct
1996-12-11,1997-01-07,-13.3,1997-01-06,-4.12,,,,
1997-02-14,1997-03-24,-14.4,1997-02-21,-3.43,,,,
1997-06-17,1998-06-16,-64.7,1997-11-24,-10.95,,,,
1999-01-11,1999-02-24,-22.2,1999-01-22,-5.41,,,,
1999-05-10,1999-05-24,-14.6,1999-05-11,-4.03,,,,
1999-07-09,1999-10-05,-23.0,1999-07-23,-7.34,,,,
2000-01-04,2000-12-22,-52.7,2000-04-17,-11.63,,,,
2002-04-18,2003-03-17,-45.0,2002-06-26,-7.15,,,,
2004-04-23,2004-08-02,-23.1,2004-05-10,-5.73,,,,
2006-05-11,2006-06-13,-17.8,2006-06-08,-3.45,,,,
2007-07-25,2007-08-17,-18.3,2007-08-16,-6.93,,,,
2007-10-31,2008-10-24,-54.5,2008-10-24,-10.57,,,,
2011-05-02,2011-09-26,-25.9,2011-08-19,-6.22,,,,
2013-01-02,2013-06-25,-12.3,2013-06-20,-2.0,,,,
2015-04-23,2015-08-24,-15.8,2015-08-24,-2.47,,,,
2018-01-29,2019-01-03,-23.3,2018-10-11,-4.44,,,,
2020-01-22,2020-03-19,-35.7,2020-03-19,-8.39,,,,
2021-07-06,2022-09-30,-31.2,2022-06-13,-3.52,,,,
2023-08-01,2023-10-31,-14.6,2023-10-26,-2.71,,,,
2024-07-11,2025-04-09,-20.7,2024-08-05,-8.77,,,,
2026-02-26,2026-03-31,-19.9,2026-03-04,-12.06,,,,
2026-06-02,2026-06-08,-15.0,2026-06-08,-8.29,,,,
2026-06-22,2026-07-30,-38.6,2026-07-28,-10.84,,,,
