peak,trough,drawdown_pct,crash_day,crash_day_ret_pct,first_rain,rain_lead_vs_crash_sess,first_storm,avoided_if_derisk_at_rain_pct
1998-07-17,1998-08-31,-19.3,1998-08-31,-6.8,,,,
1999-07-16,1999-10-15,-12.1,1999-10-15,-2.81,,,,
2000-03-24,2002-07-23,-34.7,2000-04-14,-5.83,,,,
2007-10-09,2009-03-09,-52.6,2008-10-15,-9.03,,,,
2010-04-23,2010-07-02,-16.0,2010-05-20,-3.9,,,,
2011-04-29,2011-10-03,-19.4,2011-08-08,-6.66,,,,
2015-05-21,2015-08-25,-12.4,2015-08-24,-3.94,,,,
2015-05-21,2016-02-11,-14.2,2015-08-24,-3.94,,,,
2018-09-20,2018-12-24,-19.8,2018-10-10,-3.29,,,,
2020-02-19,2020-03-23,-33.9,2020-03-16,-11.98,,,,
2022-01-03,2022-10-12,-25.4,2022-09-13,-4.32,,,,
2025-02-19,2025-04-08,-18.9,2025-04-04,-5.97,,,,
