run_utc,source,status,rows,added,changed,detail
2026-09-22T22:40:37Z,cftc_legacy,OK,,,,700행 수신 (최신 2026-09-15)
2026-09-22T22:40:37Z,cftc_tff,OK,,,,700행 수신 (최신 2026-09-15)
2026-09-22T22:40:37Z,cftc_merge,OK,700,700,0,cftc_es.csv 전체 700행
2026-09-22T22:40:37Z,finra,OK,356,356,0,최신 2026-08 · 전체 356행
2026-09-22T22:40:37Z,cboe_total,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-22T22:40:37Z,cboe_equity,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-22T22:40:37Z,cboe_index,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-23T22:40:52Z,cftc_legacy,OK,,,,700행 수신 (최신 2026-09-15)
2026-09-23T22:40:52Z,cftc_tff,OK,,,,700행 수신 (최신 2026-09-15)
2026-09-23T22:40:52Z,cftc_merge,OK,700,0,0,cftc_es.csv 전체 700행
2026-09-23T22:40:52Z,finra,OK,356,0,0,최신 2026-08 · 전체 356행
2026-09-23T22:40:52Z,cboe_probe_vix_botua,PROBE,,,,"HTTP 200 · server=cloudflare · DATE,OPEN,HIGH,LOW,CLOSE 01/02/1990,17.240000,17.240000,17.240000,17.240000 01/03/1990,18.190000,18.190000,18.190000,18."
2026-09-23T22:40:52Z,cboe_probe_vix_browserua,PROBE,,,,"HTTP 200 · server=cloudflare · DATE,OPEN,HIGH,LOW,CLOSE 01/02/1990,17.240000,17.240000,17.240000,17.240000 01/03/1990,18.190000,18.190000,18.190000,18."
2026-09-23T22:40:52Z,cboe_probe_totalpc_browserua,PROBE,,,,"HTTP 403 · server=cloudflare · <?xml version=""1.0"" encoding=""UTF-8""?> <Error><Code>AccessDenied</Code><Message>Access Denied</Message><RequestId>26WB87"
2026-09-23T22:40:52Z,cboe_total,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-23T22:40:52Z,cboe_equity,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-23T22:40:52Z,cboe_index,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-24T11:18:53Z,cftc_legacy,OK,,,,700행 수신 (최신 2026-09-15)
2026-09-24T11:18:53Z,cftc_tff,OK,,,,700행 수신 (최신 2026-09-15)
2026-09-24T11:18:53Z,cftc_merge,OK,700,0,0,cftc_es.csv 전체 700행
2026-09-24T11:18:53Z,finra,OK,356,0,0,최신 2026-08 · 전체 356행
2026-09-24T11:18:53Z,cboe_probe_page_today,PROBE,,,,HTTP 200 · server=cloudflare · bytes=447351 · total=0.86 index=1.04 equity=0.46 · dates=- · urls=-
2026-09-24T11:18:53Z,cboe_probe_page_dt,PROBE,,,,HTTP 200 · server=cloudflare · bytes=447411 · total=0.86 index=1.04 equity=0.46 · dates=- · urls=-
2026-09-24T11:18:53Z,cboe_total,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-24T11:18:53Z,cboe_equity,FAIL,,,,HTTPError HTTP Error 403: Forbidden
2026-09-24T11:18:53Z,cboe_index,FAIL,,,,HTTPError HTTP Error 403: Forbidden
