basDt,credit_loan_total,credit_loan_kospi,credit_loan_kosdaq,credit_short_total,deposit_collateral_loan,investor_deposit,unpaid_broker,forced_liq_amt,forced_liq_ratio,cma_balance_total,etf_total_trprc,etf_lev_trprc,etf_inv_trprc,etf_inv2x_trprc,etf_lev_lstg_cnt
20241205,16313585951632,9565426200759,6748159750873,2465860894,19587338641143,52469231655263,922927257370,5348338847,0.6,,,,,,
20241206,16204590105700,9506188120085,6698401985615,2432269929,19659069898186,51740789839560,926902210133,6936559617,0.8,,,,,,
20241209,16040171392523,9423523079324,6616648313199,2425388002,19637528070381,51906416245919,945304013781,8400701873,0.9,,,,,,
20241210,15746728442611,9239431820516,6507296622095,2415152508,19566938473908,52512921171620,932196746882,10017595236,1.1,,,,,,
20241211,15310679542913,9000394918738,6310284624175,2358852658,19453310697855,52922807229776,944783973583,7592629717,0.8,,,,,,
20241212,15163221504286,8921701158717,6241520345569,2348961856,19263638641773,52662183095598,901382782857,3599972123,0.4,,,,,,
20241213,15249382235198,8967905008213,6281477226985,2337465446,19300896646066,53572768361127,885341336178,5907005999,0.7,,,,,,
20241216,15361608349483,8983725231381,6377883118102,2337292246,19354933783638,52808762230029,884043682939,2121847675,0.2,,,,,,
20241217,15480560343551,9041285973369,6439274370182,2337292246,19422076267183,52552214902282,892527887794,3320718403,0.4,,,,,,
20241218,15690283145341,9166716398864,6523566746477,2335837983,19402793058728,51560362377440,990446192347,3154633905,0.4,,,,,,
20241219,15867032195545,9291728339586,6575303855959,2329577983,19470724069202,51351352708447,901835448543,5857681261,0.6,,,,,,
20241220,15818225163409,9227051343341,6591173820068,2329577983,19433726565318,52015851828934,883327522238,6155792368,0.7,,,,,,
20241223,15926811321512,9329189182612,6597622138900,2327984908,19522055164835,52084454786951,888522862249,5860455953,0.7,,,,,,
20241224,15865397105138,9325924047957,6539473057181,2326403408,19590373321789,50626519879974,911733334877,6987908041,0.8,,,,,,
20241226,15732551559334,9228137093025,6504414466309,2325043173,19502579276996,52595974968485,890476559754,3912362686,0.4,,,,,,
20241227,15819370125164,9253167403178,6566202721986,2306411631,19408420344630,54447545002958,880970533398,3992167921,0.4,,,,,,
20241230,15824314380821,9238235212428,6586079168393,2306248431,19443901991226,54555510031601,910282831943,8534314107,1,,,,,,
