basDt,srtnCd,isinCd,crno,mrktCtg,itmsNm,corpNm
20260827,A900110,HK0000057197,0000000000000,KOSDAQ,딥커머스,딥커머스리미티드
20260827,A900270,HK0000214814,0000000000000,KOSDAQ,헝셩그룹,헝셩그룹유한회사
20260827,A900260,HK0000295359,0000000000000,KOSDAQ,로스웰,로스웰인터내셔널유한회사
20260827,A900290,HK0000307485,0000000000000,KOSDAQ,GRT,그레이트리치과기유한공사
20260827,A900300,HK0000312568,1831462000000,KOSDAQ,오가닉티코스메틱,오가닉티코스메틱스홀딩스컴퍼니리미티드
20260827,A900310,HK0000341732,0000000000000,KOSDAQ,컬러레이,컬러레이홀딩스
20260827,A900340,HK0000449303,0000000000000,KOSDAQ,윙입푸드,윙입푸드홀딩스
20260827,A000020,KR7000020008,1101110043870,KOSPI,동화약품,동화약품(주)
20260827,A000040,KR7000040006,1601110007032,KOSPI,KR모터스,KR모터스(주)
20260827,A000050,KR7000050005,1101110013287,KOSPI,경방,(주)경방
20260827,A000070,KR7000070003,1101110026181,KOSPI,삼양홀딩스,(주)삼양홀딩스
20260827,A000080,KR7000080002,1101110028591,KOSPI,하이트진로,하이트진로(주)
20260827,A000100,KR7000100008,1101110014409,KOSPI,유한양행,(주)유한양행
20260827,A000120,KR7000120006,1101110006167,KOSPI,CJ대한통운,씨제이대한통운(주)
20260827,A000140,KR7000140004,1101110013766,KOSPI,하이트진로홀딩스,하이트진로홀딩스(주)
20260827,A000150,KR7000150003,1101110013774,KOSPI,두산,(주)두산
20260827,A000180,KR7000180000,1801110001717,KOSPI,성창기업지주,성창기업지주(주)
20260827,A0001A0,KR70001A0001,2062110077244,KOSDAQ,덕양에너젠,(주)덕양에너젠
20260827,A000210,KR7000210005,1101110084915,KOSPI,DL,디엘 주식회사
20260827,A000220,KR7000220004,1341110002307,KOSPI,유유제약,(주)유유제약
20260827,A000230,KR7000230003,1101110012776,KOSPI,일동홀딩스,일동홀딩스(주)
20260827,A000240,KR7000240002,1101110034233,KOSPI,한국앤컴퍼니,한국앤컴퍼니(주)
20260827,A000250,KR7000250001,1348110003327,KOSDAQ,삼천당제약,삼천당제약(주)
20260827,A000270,KR7000270009,1101110037998,KOSPI,기아,기아(주)
20260827,A000300,KR7000300004,1101110085541,KOSPI,DH오토넥스,(주)디에이치오토넥스
20260827,A000320,KR7000320002,1341110002878,KOSPI,노루홀딩스,(주)노루홀딩스
20260827,A000370,KR7000370007,1101110006456,KOSPI,한화손해보험,한화손해보험(주)
20260827,A000390,KR7000390005,1101110014433,KOSPI,SP삼화,에스피삼화(주)
20260827,A000400,KR7000400002,1101110014459,KOSPI,롯데손해보험,롯데손해보험(주)
20260827,A000430,KR7000430009,1101110015556,KOSPI,대원강업,대원강업(주)
20260827,A000440,KR7000440008,1101110003428,KOSDAQ,중앙에너비스,(주)중앙에너비스
20260827,A000480,KR7000480004,2011110000440,KOSPI,CR홀딩스,주식회사 시알홀딩스
20260827,A000490,KR7000490003,1911110000104,KOSPI,대동,(주)대동
20260827,A0004V0,KR70004V0003,1913110017692,KOSDAQ,엔비알모션,(주)엔비알모션
