op,code,rows,note,run_at_kst
getGrantingOfCreditBalanceInfo,00,420,total=1191 최신=20260922 정렬=최신순 페이지=1 경계버림=20250103,2026-09-25 07:27
getSecuritiesMarketTotalCapitalInfo,00,420,total=1204 최신=20260922 정렬=최신순 페이지=1 경계버림=20250103,2026-09-25 07:27
getCMAStatus,00,420,total=14448 최신=20260922 정렬=최신순 페이지=6 경계버림=20250103,2026-09-25 07:27
getCMAStatus:합계행,-,419,날짜 419개 중 합계행 사용 419개,2026-09-25 07:27
getETFPriceInfo,EMPTY,0,basDt=20260924 0행 — 미공개(D+1 규칙) 또는 휴장,2026-09-25 07:27
getETFPriceInfo,EMPTY,0,basDt=20260923 0행 — 미공개(D+1 규칙) 또는 휴장,2026-09-25 07:27
getETFPriceInfo,00,1175,basDt=20260922 레버리지 3557825192893,2026-09-25 07:27
getETFPriceInfo,00,1130,basDt=20260529 레버리지 13319895249233,2026-09-25 07:27
getETFPriceInfo,00,1131,basDt=20260528 레버리지 14727767737588,2026-09-25 07:27
getETFPriceInfo,00,1131,basDt=20260527 레버리지 17363515690455,2026-09-25 07:27
getETFPriceInfo,00,1115,basDt=20260526 레버리지 5646680198700,2026-09-25 07:27
getETFPriceInfo,00,1115,basDt=20260522 레버리지 4618529444688,2026-09-25 07:27
getETFPriceInfo,00,1115,basDt=20260521 레버리지 5092330742358,2026-09-25 07:27
getETFPriceInfo,00,1115,basDt=20260520 레버리지 5663138046843,2026-09-25 07:27
getETFPriceInfo,00,1115,basDt=20260519 레버리지 5181920421425,2026-09-25 07:27
getETFPriceInfo,00,1107,basDt=20260518 레버리지 6201561886710,2026-09-25 07:27
getETFPriceInfo,00,1107,basDt=20260515 레버리지 7653469460274,2026-09-25 07:27
getETFPriceInfo,00,1107,basDt=20260514 레버리지 5663457938891,2026-09-25 07:27
getETFPriceInfo,00,1107,basDt=20260513 레버리지 5966642542340,2026-09-25 07:27
getETFPriceInfo,00,1107,basDt=20260512 레버리지 8493758703177,2026-09-25 07:27
getETFPriceInfo,00,1099,basDt=20260511 레버리지 6243046671902,2026-09-25 07:27
getETFPriceInfo,00,1099,basDt=20260508 레버리지 4765397383501,2026-09-25 07:27
getETFPriceInfo,00,1099,basDt=20260507 레버리지 5675070041076,2026-09-25 07:27
getETFPriceInfo,00,1099,basDt=20260506 레버리지 5427094897635,2026-09-25 07:27
getETFPriceInfo,00,1099,basDt=20260504 레버리지 4107343142540,2026-09-25 07:27
getETFPriceInfo,00,1099,basDt=20260430 레버리지 3748438200279,2026-09-25 07:27
getETFPriceInfo,00,1099,basDt=20260429 레버리지 3313915692699,2026-09-25 07:27
ETF백필,-,20,대상 20일 중 20일 채움 · 남은 빈 날짜 321일 · 건너뛰기 0일,2026-09-25 07:27
