bas_dd,kospi_close,kospi_chg_rt,kospi200_close,kosdaq_close,kosdaq_chg_rt,kospi_trdval,kosdaq_trdval,vkospi_close,vkospi_chg_rt,adv_cnt,dec_cnt,lev_etf_val,inv_etf_val,inv2x_etf_val,top2_mcap_pct,put_vol,call_vol,pcr,run_utc
20260605,8160.59,-5.54,1297.02,1002.44,-4.5,48518406758572,10637619259513,73.44,0.0,614,1970,12775040004781,2477224183188,1485663397517,46.9,135727,180415,0.7523,2026-09-11T22:26:59+00:00
20260608,7484.41,-8.29,1186.54,911.39,-9.08,48337231566063,8873686618078,76.63,4.34,117,2510,12240454311719,3693519402912,2432331570456,46.51,217147,356392,0.6093,2026-09-11T22:26:51+00:00
20260609,8096.93,8.18,1293.4,967.81,6.19,46713312538903,10198933171350,91.23,19.05,2209,391,11639545369473,3606214430512,2371878688612,48.29,259910,246130,1.056,2026-09-11T22:26:43+00:00
20260610,7730.82,-4.52,1227.12,951.63,-1.67,39943748798032,9102601887601,88.35,-3.16,842,1726,10336298092377,3075177961095,1954004672931,47.07,290399,295301,0.9834,2026-09-11T13:12:36+00:00
20260611,7763.95,0.43,1231.54,996.93,4.76,46399919647481,13668329926085,87.3,-1.19,1795,777,10491867167992,3259554167017,2218143287593,46.96,510850,528403,0.9668,2026-09-11T13:12:29+00:00
20260612,8123.62,4.63,1291.32,1029.05,3.22,52256419998101,16674509926177,89.91,2.99,2074,515,13113141580248,2699576350730,1703253814850,47.3,109068,74007,1.4738,2026-09-11T13:12:21+00:00
20260615,8545.98,5.2,1360.26,1034.03,0.48,39990881181209,11468356521232,87.85,-2.29,1686,869,8601088118073,1522514830710,939854929467,47.55,296752,289512,1.025,2026-09-11T05:04:54+00:00
20260616,8726.6,2.11,1391.74,1018.68,-1.48,40567624611442,8997380364318,84.29,-4.05,1283,1256,11310822201843,1907598901045,1148728321925,48.0,132518,54823,2.4172,2026-09-11T05:04:45+00:00
20260617,8864.24,1.58,1416.97,1031.96,1.3,35844946879967,9663427940024,79.65,-5.5,1306,1207,11862428789771,1827009251064,1148413366467,48.8,194138,101457,1.9135,2026-09-11T05:04:38+00:00
20260618,9063.84,2.25,1459.23,1000.93,-3.01,50779098010918,9073411273807,80.25,0.75,354,2227,17578781275260,1970132171746,1281407563917,50.57,367669,292529,1.2569,2026-09-10T22:25:39+00:00
20260619,9052.42,-0.13,1459.48,966.59,-3.43,67253186439992,10659188358477,83.57,4.14,315,2277,23141653502906,3631400715545,2463981120961,50.86,161029,108004,1.491,2026-09-10T22:25:32+00:00
20260622,9114.55,0.69,1477.22,968.4,0.19,41908395137098,9082870485501,87.36,4.54,531,2039,18310270152138,2792621643547,1830187538995,51.88,368951,403891,0.9135,2026-09-10T22:25:24+00:00
20260623,8203.84,-9.99,1321.7,891.52,-7.94,61426239459934,8609664947876,89.41,2.35,180,2433,21199743521730,4583763508242,3095184540345,50.41,95637,80308,1.1909,2026-09-10T13:12:40+00:00
20260624,8471.02,3.26,1369.62,909.31,2.0,55497449029719,6994598098225,94.81,6.04,1399,1153,21267762573189,6990493893773,4723114970417,51.48,101818,160041,0.6362,2026-09-10T13:12:31+00:00
20260625,8930.3,5.42,1454.15,887.81,-2.36,51972449062704,7021519403356,95.09,0.3,691,1869,18877496467412,3622224100841,2489185279383,53.46,389454,385902,1.0092,2026-09-10T13:12:21+00:00
20260626,8411.21,-5.81,1366.49,851.37,-4.1,53996059173439,8190721877290,92.71,-2.5,331,2250,18675677181201,5205671267447,3938162659861,52.82,123709,150893,0.8198,2026-09-10T05:04:32+00:00
20260629,8394.65,-0.2,1352.54,920.57,8.13,42683193886395,8073982012326,96.94,4.56,2375,245,14017975756991,4273625826596,3111886487540,50.96,310514,354668,0.8755,2026-09-10T05:04:24+00:00
20260630,8476.48,0.97,1370.73,916.18,-0.48,42098625049817,7911572273245,93.8,-3.24,980,1597,13487124655632,3370346699709,2457074950028,51.61,115437,99138,1.1644,2026-09-10T05:04:12+00:00
20260701,8303.41,-2.04,1335.36,929.35,1.44,39997862942819,11776152563787,88.67,-5.47,1893,684,12597276890225,3692697296277,2567967175605,50.13,140377,188177,0.746,2026-09-09T22:27:16+00:00
20260702,7648.09,-7.89,1219.62,866.72,-6.74,49899591942908,7944668425157,86.41,-2.55,598,1971,14494378077738,4750777901126,3365705106946,47.95,216281,406894,0.5315,2026-09-09T22:27:10+00:00
20260703,8088.34,5.76,1299.3,868.41,0.19,45490915968904,6829385455475,89.29,3.33,1683,863,17014567623350,7236573719257,5499671367781,49.79,164038,202488,0.8101,2026-09-09T22:27:02+00:00
