service,label,status,rows,basDd,run_utc
sto/stk_bydd_trd,유가증권 일별매매,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
sto/ksq_bydd_trd,코스닥 일별매매,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
sto/knx_bydd_trd,코넥스 일별매매,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
idx/krx_dd_trd,KRX 지수,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
idx/kospi_dd_trd,KOSPI 지수,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
idx/kosdaq_dd_trd,KOSDAQ 지수,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
idx/bon_dd_trd,채권지수,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
idx/drvprod_dd_trd,파생상품지수(V-KOSPI 포함),EMPTY,0,20260904,2026-09-05T16:27:41+00:00
etp/etf_bydd_trd,ETF 일별매매,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
etp/etn_bydd_trd,ETN 일별매매,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
bon/kts_bydd_trd,국채전문유통시장,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
bon/bnd_bydd_trd,일반채권시장,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
drv/fut_bydd_trd,선물(주식선물外),EMPTY,0,20260904,2026-09-05T16:27:41+00:00
drv/opt_bydd_trd,옵션(주식옵션外),EMPTY,0,20260904,2026-09-05T16:27:41+00:00
gen/gold_bydd_trd,금시장,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
gen/oil_bydd_trd,석유시장,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
gen/ets_bydd_trd,배출권시장,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
sto/stk_isu_base_info,유가증권 종목기본정보,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
sto/ksq_isu_base_info,코스닥 종목기본정보,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
sto/knx_isu_base_info,코넥스 종목기본정보,EMPTY,0,20260904,2026-09-05T16:27:41+00:00
sto/stk_bydd_trd,유가증권 일별매매,OK,944,20260827,2026-09-05T16:27:41+00:00
sto/ksq_bydd_trd,코스닥 일별매매,OK,1823,20260827,2026-09-05T16:27:41+00:00
idx/kospi_dd_trd,KOSPI 지수,OK,51,20260827,2026-09-05T16:27:41+00:00
idx/kosdaq_dd_trd,KOSDAQ 지수,OK,40,20260827,2026-09-05T16:27:41+00:00
idx/drvprod_dd_trd,파생상품지수(V-KOSPI 포함),OK,320,20260827,2026-09-05T16:27:41+00:00
etp/etf_bydd_trd,ETF 일별매매,OK,1163,20260827,2026-09-05T16:27:41+00:00
drv/opt_bydd_trd,옵션(주식옵션外),OK,18136,20260827,2026-09-05T16:27:41+00:00
sto/stk_bydd_trd,유가증권 일별매매,OK,944,20260825,2026-09-05T16:27:41+00:00
sto/ksq_bydd_trd,코스닥 일별매매,OK,1823,20260825,2026-09-05T16:27:41+00:00
idx/kospi_dd_trd,KOSPI 지수,OK,51,20260825,2026-09-05T16:27:41+00:00
idx/kosdaq_dd_trd,KOSDAQ 지수,OK,40,20260825,2026-09-05T16:27:41+00:00
idx/drvprod_dd_trd,파생상품지수(V-KOSPI 포함),OK,320,20260825,2026-09-05T16:27:41+00:00
etp/etf_bydd_trd,ETF 일별매매,OK,1164,20260825,2026-09-05T16:27:41+00:00
drv/opt_bydd_trd,옵션(주식옵션外),OK,17676,20260825,2026-09-05T16:27:41+00:00
sto/stk_bydd_trd,유가증권 일별매매,OK,942,20260824,2026-09-05T16:27:41+00:00
sto/ksq_bydd_trd,코스닥 일별매매,OK,1823,20260824,2026-09-05T16:27:41+00:00
idx/kospi_dd_trd,KOSPI 지수,OK,51,20260824,2026-09-05T16:27:41+00:00
idx/kosdaq_dd_trd,KOSDAQ 지수,OK,40,20260824,2026-09-05T16:27:41+00:00
idx/drvprod_dd_trd,파생상품지수(V-KOSPI 포함),OK,320,20260824,2026-09-05T16:27:41+00:00
etp/etf_bydd_trd,ETF 일별매매,OK,1161,20260824,2026-09-05T16:27:41+00:00
drv/opt_bydd_trd,옵션(주식옵션外),OK,18212,20260824,2026-09-05T16:27:41+00:00
sto/stk_bydd_trd,유가증권 일별매매,OK,942,20260821,2026-09-05T16:27:41+00:00
sto/ksq_bydd_trd,코스닥 일별매매,OK,1822,20260821,2026-09-05T16:27:41+00:00
idx/kospi_dd_trd,KOSPI 지수,OK,51,20260821,2026-09-05T16:27:41+00:00
idx/kosdaq_dd_trd,KOSDAQ 지수,OK,40,20260821,2026-09-05T16:27:41+00:00
idx/drvprod_dd_trd,파생상품지수(V-KOSPI 포함),OK,320,20260821,2026-09-05T16:27:41+00:00
etp/etf_bydd_trd,ETF 일별매매,OK,1161,20260821,2026-09-05T16:27:41+00:00
drv/opt_bydd_trd,옵션(주식옵션外),OK,17716,20260821,2026-09-05T16:27:41+00:00
