report_date,contract,noncomm_long,noncomm_short,noncomm_net,comm_long,comm_short,legacy_open_interest,lev_long,lev_short,lev_net,am_long,am_short,am_net,dealer_long,dealer_short,tff_open_interest,fetched_utc
2013-04-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,115759,75662,40097,522834,590993,782302,541964,881170,-339206,1418364,543216,875148,181005,845897,3028179,2026-09-22T22:40:37Z
2013-04-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,128170,71998,56172,524737,609156,791342,619861,892055,-272194,1424237,524315,899922,173852,893096,3087728,2026-09-22T22:40:37Z
2013-05-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,127941,84152,43789,548718,619371,816274,634830,952278,-317448,1438419,516334,922085,208853,918105,3189841,2026-09-22T22:40:37Z
2013-05-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,122597,78987,43610,576658,647239,846248,628229,1009990,-381761,1454321,493607,960714,224851,940310,3287763,2026-09-22T22:40:37Z
2013-05-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,114464,82007,32457,603393,664070,860454,556447,990454,-434007,1534526,484029,1050497,253771,1001571,3340104,2026-09-22T22:40:37Z
2013-05-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,121207,79247,41960,613376,690632,876502,542299,1001385,-459086,1560238,487247,1072991,254819,1026197,3384621,2026-09-22T22:40:37Z
2013-06-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,111159,75980,35179,611391,657414,867486,552181,966205,-414024,1523901,518023,1005878,235767,858782,3307852,2026-09-22T22:40:37Z
2013-06-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,101393,74941,26452,625366,660842,894602,518301,920976,-402675,1504277,564691,939586,223591,849681,3397407,2026-09-22T22:40:37Z
2013-06-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,109863,77661,32202,692093,728922,991389,496613,974240,-477627,1512577,537360,975217,213675,875204,3746507,2026-09-22T22:40:37Z
2013-06-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,96519,72708,23811,469299,524031,703009,452291,691189,-238898,1320813,652266,668547,109099,686912,2729204,2026-09-22T22:40:37Z
2013-07-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,90708,70437,20271,476445,524885,703729,493046,729018,-235972,1268769,597541,671228,118645,672799,2707222,2026-09-22T22:40:37Z
2013-07-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,88839,70117,18722,477726,524473,705746,482750,773317,-290567,1310487,564527,745960,107603,696341,2723676,2026-09-22T22:40:37Z
2013-07-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,95789,58351,37438,480385,545295,716164,496752,808545,-311793,1331030,544407,786623,99875,746152,2784081,2026-09-22T22:40:37Z
2013-07-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,100254,60030,40224,492842,561209,727263,500058,825097,-325039,1368069,517924,850145,94777,774049,2813229,2026-09-22T22:40:37Z
2013-07-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,105387,59225,46162,493663,566382,730838,523448,816102,-292654,1377587,514013,863574,103082,803424,2840740,2026-09-22T22:40:37Z
2013-08-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,96566,67664,28902,496364,555366,732142,480094,806961,-326867,1368867,511183,857684,104133,774828,2844836,2026-09-22T22:40:37Z
2013-08-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,98778,69614,29164,494160,552811,738273,481953,818942,-336989,1348028,523267,824761,103128,755084,2876427,2026-09-22T22:40:37Z
2013-08-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,98421,71732,26689,502453,557801,754996,493736,794775,-301039,1303650,554018,749632,115904,790014,2929661,2026-09-22T22:40:37Z
2013-08-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,91212,80681,10531,523989,559748,780789,535998,833694,-297696,1271977,562171,709806,119528,783260,2996973,2026-09-22T22:40:37Z
2013-09-03,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,95347,86218,9129,523949,555013,789961,561164,874630,-313466,1245045,538739,706306,117301,764366,2986537,2026-09-22T22:40:37Z
2013-09-10,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,90352,86367,3985,546837,567684,810027,552131,895934,-343803,1248943,483147,765796,114822,739632,3044856,2026-09-22T22:40:37Z
2013-09-17,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,99443,78020,21423,627271,673428,917682,588831,889937,-301106,1270304,482837,787467,115269,811884,3337625,2026-09-22T22:40:37Z
2013-09-24,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,96150,66008,30142,450893,518864,675574,430914,717646,-286732,1227767,470480,757287,130688,751414,2624099,2026-09-22T22:40:37Z
2013-10-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,99410,70575,28835,446335,511547,677685,450746,699597,-248851,1181053,457618,723435,142674,754365,2623895,2026-09-22T22:40:37Z
2013-10-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,94319,79834,14485,466470,521309,701923,510663,708625,-197962,1173866,491598,682268,159057,811447,2732549,2026-09-22T22:40:37Z
2013-10-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,97788,76197,21591,463064,522278,695078,530394,714083,-183689,1168072,483840,684232,151610,785990,2690273,2026-09-22T22:40:37Z
2013-10-22,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,100139,77830,22309,482018,529422,708537,563340,717566,-154226,1220183,474821,745362,163450,779143,2732821,2026-09-22T22:40:37Z
